content,aspect,sentiment,from,to
both the refusal of service and her subsequent arrest were the product of a conspiracy between kress and the hattiesburg police,kress,1,95,100
both the refusal of service and her subsequent arrest were the product of a conspiracy between kress and the hattiesburg police,hattiesburg police,1,109,127
the district court ruled that petitioner had failed to allege any facts from which a conspiracy might be inferred,petitioner,-1,30,40
petitioner had failed to allege any facts,petitioner,-1,0,10
as explained in part i because the respondent failed to show the absence of any disputed material fact we think the district court erred in granting summary judgment,respondent,-1,35,45
the respondent failed to show the absence of any disputed material fact,respondent,-1,4,14
briefly stated the conspiracy count of petitioners complaint made the following allegations while serving as a volunteer teacher at a freedom school for negro children in hattiesburg mississippi petitioner went with six of her students to the hattiesburg public library at about noon on august 14 1964,petitioners,0,39,50
briefly stated the conspiracy count of petitioners complaint made the following allegations while serving as a volunteer teacher at a freedom school for negro children in hattiesburg mississippi petitioner went with six of her students to the hattiesburg public library at about noon on august 14 1964,her,0,223,226
briefly stated the conspiracy count of petitioners complaint made the following allegations,petitioners,0,39,50
because they did not leave the librarian called the hattiesburg chief of police who told petitioner and her students that the library was closed and ordered them to leave,petitioner,0,89,99
because they did not leave the librarian called the hattiesburg chief of police who told petitioner and her students that the library was closed and ordered them to leave,her,0,104,107
the librarian called the hattiesburg chief of police who told petitioner and her students,petitioner,0,62,72
from the library petitioner and the students proceeded to respondents store where they wished to eat lunch,petitioner,0,17,27
from the library petitioner and the students proceeded to respondents store where they wished to eat lunch,respondents,0,58,69
according to the complaint after the group sat down to eat a policeman came into the store and observed miss adickes in the company of the negro students,adickes,0,109,116
a waitress then came to the booth where petitioner was sitting took the orders of the negro students but refused to serve petitioner because she was a white person in the company of negroes,petitioner,1,40,50
a waitress then came to the booth where petitioner was sitting took the orders of the negro students but refused to serve petitioner because she was a white person in the company of negroes,she,1,141,144
petitioner was sitting,petitioner,0,0,10
she was a white person in the company of negroes,she,0,0,3
the complaint goes on to allege that after this refusal of service petitioner and her students left the kress store,petitioner,1,67,77
the complaint goes on to allege that after this refusal of service petitioner and her students left the kress store,her,1,82,85
the complaint goes on to allege that after this refusal of service petitioner and her students left the kress store,kress,-1,104,109
on the basis of these underlying facts petitioner alleged that kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,petitioner,1,39,49
on the basis of these underlying facts petitioner alleged that kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,her,1,123,126
on the basis of these underlying facts petitioner alleged that kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,her,1,130,133
on the basis of these underlying facts petitioner alleged that kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,kress,-1,63,68
on the basis of these underlying facts petitioner alleged that kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,hattiesburg police,-1,77,95
on the basis of these underlying facts petitioner alleged,petitioner,1,39,49
kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,her,1,60,63
kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,her,1,67,70
kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,kress,-1,0,5
kress and the hattiesburg police had conspired 1 to deprive her of her right to enjoy equal treatment and service in a place of public accommodation 398 us 144 150 and 2 to cause her arrest on the false charge of vagrancy,hattiesburg police,-1,14,32
first the plaintiff must prove that the defendant has deprived him of a right secured by the constitution and laws of the united states,plaintiff,1,10,19
first the plaintiff must prove that the defendant has deprived him of a right secured by the constitution and laws of the united states,him,1,63,66
first the plaintiff must prove that the defendant has deprived him of a right secured by the constitution and laws of the united states,defendant,-1,40,49
first the plaintiff must prove,plaintiff,0,10,19
the defendant has deprived him of a right secured by the constitution and laws of the united states,him,1,27,30
the defendant has deprived him of a right secured by the constitution and laws of the united states,defendant,-1,4,13
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,petitioner,1,0,10
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,her,1,166,169
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,her,1,320,323
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,her,1,397,400
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,respondent,-1,57,67
petitioner in opposing summary judgment pointed out that respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition and an unsworn statement by a kress employee all to the effect that there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,kress,-1,211,216
petitioner in opposing summary judgment pointed out,petitioner,1,0,10
respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition  and an unsworn statement by a kress employee  all to the effect,petitioners,1,72,83
respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition  and an unsworn statement by a kress employee  all to the effect,her,1,109,112
respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition  and an unsworn statement by a kress employee  all to the effect,respondent,-1,0,10
respondent had failed in its moving papers to dispute the allegation in petitioners complaint a statement at her deposition  and an unsworn statement by a kress employee  all to the effect,kress,-1,155,160
there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,her,-1,71,74
there was a policeman in the store at the time of the refusal to serve her and that this was the policeman who subsequently 398 us 144 157 arrested her,her,-1,148,151
petitioner argued that although she had no knowledge of an agreement between kress and the police the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial especially given the fact that the noncircumstantial evidence of the conspiracy could only come from adverse witnesses,petitioner,1,0,10
petitioner argued that although she had no knowledge of an agreement between kress and the police the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial especially given the fact that the noncircumstantial evidence of the conspiracy could only come from adverse witnesses,she,1,32,35
petitioner argued that although she had no knowledge of an agreement between kress and the police the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial especially given the fact that the noncircumstantial evidence of the conspiracy could only come from adverse witnesses,her,1,187,190
petitioner argued that although she had no knowledge of an agreement between kress and the police the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial especially given the fact that the noncircumstantial evidence of the conspiracy could only come from adverse witnesses,kress,-1,77,82
petitioner argued that although she had no knowledge of an agreement between kress and the police the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial especially given the fact that the noncircumstantial evidence of the conspiracy could only come from adverse witnesses,police,-1,91,97
she had no knowledge of an agreement between kress and the police,she,-1,0,3
she had no knowledge of an agreement between kress and the police,kress,1,45,50
she had no knowledge of an agreement between kress and the police,police,1,59,65
respondent here did not carry its burden because of its failure to foreclose the possibility that there was a policeman in the kress store while petitioner was awaiting service and that this policeman reached an understanding with some kress employee that petitioner not be served,petitioner,-1,145,155
respondent here did not carry its burden because of its failure to foreclose the possibility that there was a policeman in the kress store while petitioner was awaiting service and that this policeman reached an understanding with some kress employee that petitioner not be served,respondent,1,0,10
respondent here did not carry its burden because of its failure to foreclose the possibility that there was a policeman in the kress store while petitioner was awaiting service and that this policeman reached an understanding with some kress employee that petitioner not be served,kress,1,127,132
respondent here did not carry its burden,respondent,-1,0,10
petitioner was awaiting service,petitioner,0,0,10
this policeman reached an understanding with some kress employee,kress,1,50,55
petitioner not be served,petitioner,0,0,10
the first count of petitioners complaint alleges that kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,petitioners,1,19,30
the first count of petitioners complaint alleges that kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,she,1,218,221
the first count of petitioners complaint alleges that kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,her,1,97,100
the first count of petitioners complaint alleges that kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,her,1,185,188
the first count of petitioners complaint alleges that kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,kress,-1,54,59
the first count of petitioners complaint alleges,petitioners,1,19,30
kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,petitioner,1,23,33
kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,she,1,164,167
kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,her,1,43,46
kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,her,1,131,134
kress refusal to serve petitioner deprived her of the privilege of equal enjoyment of a place of public accommodation by reason of her association with negroes and she was thereby discriminated against because of race in violation of the constitution of the united states and of title 42 united states code section 1983,kress,-1,0,5
the conspiracy count alleges inter alia that kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,her,1,121,124
the conspiracy count alleges inter alia that kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,kress,-1,45,50
the conspiracy count alleges inter alia that kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,police,-1,71,77
kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,her,1,76,79
kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,kress,-1,0,5
kress and the hattiesburg police conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation,police,-1,26,32
it is clear and respondent seemingly concedes that its refusal to serve petitioner was a violation of 201 of the 1964 act,petitioner,1,72,82
it is clear and respondent seemingly concedes that its refusal to serve petitioner was a violation of 201 of the 1964 act,respondent,-1,16,26
respondent seemingly concedes,respondent,0,0,10
its refusal to serve petitioner was a violation of 201 of the 1964 act,petitioner,1,21,31
a detective questioned jackson at about 2 a m soon after his arrival at the hospital,jackson,-1,23,30
a detective questioned jackson at about 2 a m soon after his arrival at the hospital,his,-1,57,60
he also admitted the robbery at the hotel,he,-1,0,2
jackson was given 50 milligrams of demerol and 150 of a grain of scopolamine at 355 a m,jackson,-1,0,7
immediately thereafter an assistant district attorney in the presence of police officers and hospital personnel questioned jackson the interrogation being recorded by a stenographer,jackson,-1,123,130
jackson who has been shot in the liver and lung had by this time lost about 500 cc of blood,jackson,-1,0,7
jackson again admitted the robbery in the hotel and then said look i cant go on,jackson,-1,0,7
but in response to further questions he admitted shooting the policeman and having fired the first shot,he,-1,37,39
he admitted shooting the policeman and having fired the first shot,he,-1,0,2
jackson and miss elliott were indicted for murder in the first degree and were tried together,jackson,-1,0,7
jackson and miss elliott were indicted for murder in the first degree and were tried together,elliott,-1,17,24
the statements made by jackson both at 2 and 355 a m were introduced in evidence without objection by jacksons counsel,jackson,-1,23,30
the statements made by jackson both at 2 and 355 a m were introduced in evidence without objection by jacksons counsel,counsel,-1,111,118
his account of the robbery and of the shooting of the policeman differed in some important respects from his confession,his,-1,0,3
his account of the robbery and of the shooting of the policeman differed in some important respects from his confession,his,-1,105,108
according to jacksons testimony there was a substantial interval of time between his leaving the hotel and the shooting and the policeman attempted to draw his gun first and fired the first shot,jacksons,1,13,21
according to jacksons testimony there was a substantial interval of time between his leaving the hotel and the shooting and the policeman attempted to draw his gun first and fired the first shot,his,1,81,84
according to jacksons testimony there was a substantial interval of time between his leaving the hotel and the shooting and the policeman attempted to draw his gun first and fired the first shot,his,1,156,159
to counter jacksons suggestion that he had been pressured into answering questions the state offered the testimony of the attending physician and of several other persons,jacksons,-1,11,19
to counter jacksons suggestion that he had been pressured into answering questions the state offered the testimony of the attending physician and of several other persons,he,-1,36,38
to counter jacksons suggestion that he had been pressured into answering questions the state offered the testimony of the attending physician and of several other persons,state,1,87,92
to counter jacksons suggestion that he had been pressured into answering questions,jacksons,-1,11,19
to counter jacksons suggestion that he had been pressured into answering questions,he,-1,36,38
he had been pressured into answering questions,he,-1,0,2
although jacksons counsel did not specifically object to the admission of the confession initially the trial court indicated its awareness that jacksons counsel was questioning the circumstances under which jackson was interrogated,jacksons,1,9,17
although jacksons counsel did not specifically object to the admission of the confession initially the trial court indicated its awareness that jacksons counsel was questioning the circumstances under which jackson was interrogated,counsel,1,18,25
jacksons counsel did not specifically object to the admission of the confession initially,jacksons,0,0,8
jacksons counsel did not specifically object to the admission of the confession initially,counsel,0,9,16
jacksons counsel was questioning the circumstances under,jacksons,0,0,8
jacksons counsel was questioning the circumstances under,counsel,0,9,16
jackson was interrogated,jackson,0,0,7
counsels main effort was to negative the premeditation and intent necessary to firstdegree murder and to separate the robbery felony from the killing,counsels,1,0,8
the jury found jackson guilty of murder in the first degree miss elliott of manslaughter in the first degree,jackson,-1,15,22
the jury found jackson guilty of murder in the first degree miss elliott of manslaughter in the first degree,elliott,-1,65,72
jackson was sentenced to death miss elliott to a prison 378 us 368 376 term,jackson,-1,0,7
jackson was sentenced to death miss elliott to a prison 378 us 368 376 term,elliott,-1,36,43
jackson was sentenced to death,jackson,-1,0,7
miss elliott to a prison 378 us 368 376 term,elliott,-1,5,12
jacksons conviction was affirmed by the new york court of appeals 10 n y 2d 780 177 n e 2d 59 its remittitur being amended to show that it had necessarily passed upon the voluntariness of the confession and had found that jacksons constitutional rights had not been violated,jacksons,-1,0,8
jacksons conviction was affirmed by the new york court of appeals 10 n y 2d 780 177 n e 2d 59 its remittitur being amended to show,jacksons,-1,0,8
jacksons constitutional rights had not been violated,jacksons,1,0,8
jackson then filed a petition for habeas corpus claiming that the new york procedure for determining the voluntariness of a confession was unconstitutional and that in any event his confession was involuntary,jackson,1,0,7
jackson then filed a petition for habeas corpus claiming that the new york procedure for determining the voluntariness of a confession was unconstitutional and that in any event his confession was involuntary,his,1,178,181
jackson then filed a petition for habeas corpus claiming,jackson,1,0,7
any event his confession was involuntary,his,1,10,13
this procedure has a significant impact upon the defendants fourteenth amendment rights,defendants,1,49,59
petitioners suffer a disadvantage inseparable from the issues they raise in that this procedure does not produce any definite open and separate decision of the confession issue,petitioners,-1,0,11
petitioners suffer a disadvantage inseparable from the issues they raise in that this procedure does not produce any definite open and separate decision of the confession issue,they,-1,62,66
petitioners suffer a disadvantage inseparable from the issues,petitioners,-1,0,11
in those cases where without the confession the evidence is insufficient the defendant should not be convicted if the jury believes the confession but finds it to be involuntary,defendant,1,77,86
otherwise the guilty defendant goes free,defendant,1,21,30
the danger that matters pertaining to the defendants guilt will infect the jurys findings of fact bearing upon voluntariness as well as its conclusion upon that issue itself is sufficiently serious to preclude their unqualified acceptance upon review in this court regardless of whether there is or is not sufficient other evidence to sustain a finding of guilt,defendants,-1,42,52
the danger that matters pertaining to the defendants guilt will infect the jurys findings of fact bearing upon voluntariness as well as its conclusion upon that issue itsel,defendants,-1,42,52
the obvious and serious danger is that the jury disregarded or disbelieved jacksons testimony pertaining to the confession because it believed he had done precisely what he was charged with doing,jacksons,-1,75,83
the obvious and serious danger is that the jury disregarded or disbelieved jacksons testimony pertaining to the confession because it believed he had done precisely what he was charged with doing,he,-1,143,145
the jury disregarded or disbelieved jacksons testimony pertaining to the confession,jacksons,-1,36,44
he had done precisely,he,1,0,2
he was charged with doing,he,-1,0,2
the court now holds however that new yorks longstanding practice of leaving to the jury the resolution of reasonably disputed factual issues surrounding a criminal defendants allegation that his confession was coerced violates due process,defendants,1,164,174
new yorks longstanding practice of leaving to the jury the resolution of reasonably disputed factual issues surrounding a criminal defendants allegation,defendants,0,131,141
his confession was coerced violates due process,his,1,0,3
whatever might be a judges view of the voluntariness of a confession the jury in passing on a defendants guilt or innocence is in my judgment entitled to hear and determine voluntariness of a confession along with other factual issues on which its verdict must rest,defendants,1,94,104
might be a judges view of the voluntariness of a confession the jury in passing on a defendants guilt or innocence,defendants,1,85,95
if a rule like that which the court now holds to be constitutionally required would in actual practice reduce the number of confessions submitted to juries this would obviously be an advantage for a defendant whose alleged confession was for this reason excluded,defendant,1,199,208
this would obviously be an advantage for a defendant,defendant,1,43,52
another reason given by the court for invalidating the new york rule is that it is inherently unfair and therefore unconstitutional to permit the jury to pass on voluntariness since the jury even though finding a confession to have been coerced may nevertheless be unwilling to follow the courts instruction to disregard it because it may also believe the confession is true the defendant is guilty and a guilty person ought not be allowed to escape punishment,defendant,-1,379,388
whereas jackson claimed he was affected by the drugs administered to him the states evidence was that the drugs neither had nor could have had any effect upon him at all,jackson,-1,8,15
whereas jackson claimed he was affected by the drugs administered to him the states evidence was that the drugs neither had nor could have had any effect upon him at all,he,-1,24,26
whereas jackson claimed he was affected by the drugs administered to him the states evidence was that the drugs neither had nor could have had any effect upon him at all,him,-1,69,72
whereas jackson claimed he was affected by the drugs administered to him the states evidence was that the drugs neither had nor could have had any effect upon him at all,him,-1,159,162
he was affected by the drugs administered to him,he,-1,0,2
he was affected by the drugs administered to him,him,-1,45,48
the drugs neither had nor could have had any effect upon him at all,him,1,57,60
i doubt whether new york which in jacksons original trial faithfully followed the teachings of this court which were then applicable will find much comfort in this gesture,jacksons,-1,34,42
during the waning months of the presidency of lyndon b johnson in 1968 respondent a management analyst with the department of the air force testified before a congressional subcommittee about costoverruns and unexpected technical difficulties concerning the development of a particular airplane,respondent,0,71,81
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force in which his job was eliminated,petitioner richard m nixon,0,41,67
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force in which his job was eliminated,respondent,-1,68,78
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force in which his job was eliminated,his,-1,98,101
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force,petitioner richard m nixon,0,41,67
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force,respondent,-1,68,78
in january 1970 during the presidency of petitioner richard m nixon respondent was dismissed from his job during a departmental reorganization and reduction in force,his,-1,98,101
his job was eliminated,his,-1,0,3
respondent complained to the civil service commission alleging that his separation represented unlawful retaliation for his congressional testimony,respondent,1,0,10
respondent complained to the civil service commission alleging that his separation represented unlawful retaliation for his congressional testimony,his,1,68,71
respondent complained to the civil service commission alleging that his separation represented unlawful retaliation for his congressional testimony,his,1,120,123
respondent complained to the civil service commission alleging,respondent,1,0,10
his separation represented unlawful retaliation for his congressional testimony,his,-1,0,3
his separation represented unlawful retaliation for his congressional testimony,his,-1,52,55
the commission rejected this claim but concluded that respondents dismissal offended applicable regulations because it was motivated by reasons purely personal to respondent,respondents,-1,54,65
respondents dismissal offended applicable regulations,respondents,-1,0,11
respondent thereafter filed suit for damages in federal district court against various defense department officials and white house aides allegedly responsible for his dismissal,respondent,-1,0,10
an amended complaint later named petitioner as a defendant,petitioner,0,33,43
after earlier judicial rulings and extensive pretrial discovery only three defendants were involved petitioner and two white house aides petitioners in harlow v fitzgerald post p 800,petitioner,0,100,110
after earlier judicial rulings and extensive pretrial discovery only three defendants were involved petitioner and two white house aides petitioners in harlow v fitzgerald post p 800,defendants,0,75,85
after earlier judicial rulings and extensive pretrial discovery only three defendants were involved,defendants,0,75,85
petitioner and two white house aides petitioners in harlow v fitzgerald post p 800,petitioner,0,0,10
denying the defendants motion for summary judgment the court held that respondent had stated triable causes of action under two federal statutes and the first amendment and that petitioner was not entitled to claim absolute presidential immunity,respondent,-1,71,81
denying the defendants motion for summary judgment the court held that respondent had stated triable causes of action under two federal statutes and the first amendment and that petitioner was not entitled to claim absolute presidential immunity,petitioner,-1,178,188
denying the defendants motion for summary judgment the court held that respondent had stated triable causes of action under two federal statutes and the first amendment and that petitioner was not entitled to claim absolute presidential immunity,defendants,1,12,22
denying the defendants motion for summary judgment,defendants,-1,12,22
respondent had stated triable causes of action under two federal statutes and the first amendment,respondent,1,0,10
petitioner took a collateral appeal of the immunity decision to the court of appeals which dismissed summarily,petitioner,-1,0,10
petitioner took a collateral appeal of the immunity decision to the court of appeals,petitioner,1,0,10
in january 1970 the respondent a ernest fitzgerald lost his job as a management analyst with the department of the air force,respondent,-1,20,30
fitzgeralds dismissal occurred in the context of a departmental reorganization and reduction in force in 457 us 731 734 which his job was eliminated,fitzgeralds,-1,0,11
fitzgeralds dismissal occurred in the context of a departmental reorganization and reduction in force in 457 us 731 734 which his job was eliminated,his,-1,126,129
respondents discharge attracted unusual attention in congress and in the press,respondents,-1,0,11
fitzgerald had attained national prominence approximately one year earlier during the waning months of the presidency of lyndon b johnson,fitzgerald,0,0,10
at a news conference on december 8 1969 president richard nixon was queried about fitzgeralds impending separation from government service,fitzgeralds,-1,82,93
shortly after the news conference the petitioner asked white house chief of staff h r haldeman to arrange for fitzgeralds assignment to another job within the administration,petitioner,1,38,48
shortly after the news conference the petitioner asked white house chief of staff h r haldeman to arrange for fitzgeralds assignment to another job within the administration,fitzgeralds,1,110,121
the petitioner asked white house chief of staff h r haldeman to arrange for fitzgeralds assignment to another job within the administration,petitioner,1,4,14
the petitioner asked white house chief of staff h r haldeman to arrange for fitzgeralds assignment to another job within the administration,fitzgeralds,1,76,87
it also appears that the president suggested to budget director robert mayo that fitzgerald might be offered a position in the bureau of the budget,fitzgerald,1,81,91
fitzgerald might be offered a position in the bureau of the budget,fitzgerald,1,0,10
it was in this amended complaint  more than eight years after he had complained of his discharge to the civil service commission  that fitzgerald first named the petitioner nixon as a party defendant,fitzgerald,0,135,145
it was in this amended complaint  more than eight years after he had complained of his discharge to the civil service commission  that fitzgerald first named the petitioner nixon as a party defendant,he,0,62,64
it was in this amended complaint  more than eight years after he had complained of his discharge to the civil service commission  that fitzgerald first named the petitioner nixon as a party defendant,his,0,83,86
it was in this amended complaint  more than eight years after he had complained of his discharge to the civil service commission  that fitzgerald first named the petitioner nixon as a party defendant,defendant,0,190,199
he had complained of his discharge to the civil service commission,he,0,0,2
he had complained of his discharge to the civil service commission,his,0,21,24
also included as defendants were white house aide bryce harlow and other officials of the nixon administration,defendants,0,17,27
defendants were white house aide bryce harlow and other officials of the nixon administration,defendants,0,0,10
by march 1980 only three defendants remained the petitioner richard nixon and white house aides harlow and butterfield,defendants,0,25,35
by march 1980 only three defendants remained,defendants,0,25,35
ts order of march 26 held that fitzgerald had stated triable causes of action under two federal statutes and the first amendment to the constitution,fitzgerald,1,31,41
fitzgerald had stated triable causes of action under two federal statutes and the first amendment to the constitution,fitzgerald,1,0,10
the court also 457 us 731 741 ruled that petitioner was not entitled to claim absolute presidential immunity,petitioner,-1,41,51
in his opposition to the petition for certiorari respondent argued that this court is without jurisdiction to review the nonfinal order in which the district court rejected petitioners claim to absolute immunity,petitioners,-1,173,184
in his opposition to the petition for certiorari respondent argued that this court is without jurisdiction to review the nonfinal order in which the district court rejected petitioners claim to absolute immunity,respondent,1,49,59
in his opposition to the petition for certiorari respondent argued,respondent,1,49,59
the district court rejected petitioners claim to absolute immunity,petitioners,-1,28,39
shortly after petitioner had filed his petition for certiorari in this court and respondent had entered his opposition the parties reached an agreement to liquidate damages,petitioner,0,14,24
shortly after petitioner had filed his petition for certiorari in this court and respondent had entered his opposition the parties reached an agreement to liquidate damages,his,0,35,38
shortly after petitioner had filed his petition for certiorari in this court and respondent had entered his opposition the parties reached an agreement to liquidate damages,respondent,0,81,91
shortly after petitioner had filed his petition for certiorari in this court and respondent had entered his opposition the parties reached an agreement to liquidate damages,his,0,104,107
petitioner had filed his petition for certiorari in this court and respondent,petitioner,0,0,10
petitioner had filed his petition for certiorari in this court and respondent,his,0,21,24
under 457 us 731 744 its terms the petitioner nixon paid the respondent fitzgerald a sum of 142000,petitioner nixon,-1,35,51
under 457 us 731 744 its terms the petitioner nixon paid the respondent fitzgerald a sum of 142000,respondent fitzgerald,1,61,82
in consideration fitzgerald agreed to accept liquidated damages of 28000 in the event of a ruling by this court that petitioner was not entitled to absolute immunity,petitioner,-1,117,127
in consideration fitzgerald agreed to accept liquidated damages of 28000 in the event of a ruling by this court that petitioner was not entitled to absolute immunity,fitzgerald,1,17,27
the limited agreement between the parties left both petitioner and respondent with a considerable financial stake in the resolution of the question presented in this court,petitioner,-1,52,62
the limited agreement between the parties left both petitioner and respondent with a considerable financial stake in the resolution of the question presented in this court,respondent,-1,67,77
these posts were often interspersed with disclaimers that the lyrics were fictitious and not intended to depict real persons and with statements that elonis was exercising his first amendment rights,elonis,1,150,156
these posts were often interspersed with disclaimers that the lyrics were fictitious and not intended to depict real persons and with statements that elonis was exercising his first amendment rights,his,1,172,175
elonis was exercising his first amendment rights,elonis,1,0,6
elonis was exercising his first amendment rights,his,1,22,25
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,him,-1,14,17
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,him,-1,84,87
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,his,-1,22,25
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,his,-1,65,68
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,his,-1,118,121
many who knew him saw his posts as threatening however including his boss who fired him for threatening coworkers and his wife who sought and was granted a state court protectionfromabuse order against him,him,-1,202,205
him saw his posts as threatening however including his boss,him,-1,0,3
him saw his posts as threatening however including his boss,his,-1,8,11
him saw his posts as threatening however including his boss,his,-1,51,54
fired him for threatening coworkers,him,-1,6,9
